Time Step,Ratio
5.07,0.704604269
5.08,0.704042957
5.09,0.703483908
5.1,0.702927109
5.11,0.702372548
5.12,0.701820212
5.13,0.701270088
5.14,0.700722164
5.15,0.700176427
5.16,0.699632866
5.17,0.699091467
5.18,0.69855222
5.19,0.698015112
5.2,0.697480131
5.21,0.696947265
5.22,0.696416503
5.23,0.695887833
5.24,0.695361243
5.25,0.694836723
5.26,0.69431426
5.27,0.693793843
5.28,0.693275462
5.29,0.692759105
5.3,0.692244761
5.31,0.691732418
5.32,0.691222068
5.33,0.690713697
5.34,0.690207297
5.35,0.689702856
5.36,0.689200363
5.37,0.688699808
5.38,0.688201182
5.39,0.687704472
5.4,0.68720967
5.41,0.686716765
5.42,0.686225747
5.43,0.685736606
5.44,0.685249332
5.45,0.684763914
5.46,0.684280345
5.47,0.683798613
5.48,0.683318708
5.49,0.682840623
5.5,0.682364346
5.51,0.681889868
5.52,0.68141718
5.53,0.680946273
5.54,0.680477138
5.55,0.680009764
5.56,0.679544144
5.57,0.679080268
5.58,0.678618127
5.59,0.678157711
5.6,0.677699014
5.61,0.677242024
5.62,0.676786734
5.63,0.676333136
5.64,0.675881219
5.65,0.675430977
5.66,0.674982399
5.67,0.674535479
5.68,0.674090207
5.69,0.673646575
5.7,0.673204575
5.71,0.672764199
5.72,0.672325438
5.73,0.671888285
5.74,0.67145273
5.75,0.671018768
5.76,0.670586388
5.77,0.670155584
5.78,0.669726348
5.79,0.669298672
5.8,0.668872547
5.81,0.668447968
5.82,0.668024925
5.83,0.667603411
5.84,0.667183419
5.85,0.666764942
5.86,0.666347971
5.87,0.6659325
5.88,0.665518521
5.89,0.665106026
5.9,0.66469501
5.91,0.664285464
5.92,0.663877381
5.93,0.663470755
5.94,0.663065577
5.95,0.662661842
5.96,0.662259543
5.97,0.661858671
5.98,0.661459221
5.99,0.661061186
6,0.660664559
6.01,0.660269332
6.02,0.659875501
6.03,0.659483057
6.04,0.659091994
6.05,0.658702307
6.06,0.658313987
6.07,0.657927029
6.08,0.657541427
6.09,0.657157173
6.1,0.656774262
6.11,0.656392687
6.12,0.656012442
6.13,0.655633521
6.14,0.655255918
6.15,0.654879626
6.16,0.654504639
6.17,0.654130952
6.18,0.653758557
6.19,0.65338745
6.2,0.653017624
6.21,0.652649074
6.22,0.652281793
6.23,0.651915775
6.24,0.651551016
6.25,0.651187508
6.26,0.650825246
6.27,0.650464226
6.28,0.65010444
6.29,0.649745883
6.3,0.64938855
6.31,0.649032435
6.32,0.648677532
6.33,0.648323837
6.34,0.647971343
6.35,0.647620045
6.36,0.647269939
6.37,0.646921017
6.38,0.646573276
6.39,0.646226709
6.4,0.645881312
6.41,0.645537079
6.42,0.645194005
6.43,0.644852085
6.44,0.644511313
6.45,0.644171686
6.46,0.643833196
6.47,0.643495841
6.48,0.643159614
6.49,0.64282451
6.5,0.642490524
6.51,0.642157653
6.52,0.64182589
6.53,0.64149523
6.54,0.64116567
6.55,0.640837204
6.56,0.640509827
6.57,0.640183534
6.58,0.639858322
6.59,0.639534184
6.6,0.639211118
6.61,0.638889116
6.62,0.638568176
6.63,0.638248293
6.64,0.637929462
6.65,0.637611678
6.66,0.637294937
6.67,0.636979234
6.68,0.636664565
6.69,0.636350926
6.7,0.636038312
6.71,0.635726719
6.72,0.635416142
6.73,0.635106577
6.74,0.63479802
6.75,0.634490467
6.76,0.634183912
6.77,0.633878352
6.78,0.633573783
6.79,0.633270201
6.8,0.632967601
6.81,0.632665979
6.82,0.632365331
6.83,0.632065653
6.84,0.631766941
6.85,0.631469191
6.86,0.631172398
6.87,0.630876559
6.88,0.63058167
6.89,0.630287727
6.9,0.629994726
6.91,0.629702663
6.92,0.629411533
6.93,0.629121334
6.94,0.628832061
6.95,0.628543711
6.96,0.62825628
6.97,0.627969763
6.98,0.627684157
6.99,0.627399459
7,0.627115664
7.01,0.626832769
7.02,0.626550771
7.03,0.626269665
7.04,0.625989448
7.05,0.625710116
7.06,0.625431665
7.07,0.625154093
7.08,0.624877395
7.09,0.624601569
7.1,0.624326609
7.11,0.624052514
7.12,0.623779279
7.13,0.6235069
7.14,0.623235375
7.15,0.622964701
7.16,0.622694872
7.17,0.622425887
7.18,0.622157742
7.19,0.621890433
7.2,0.621623957
7.21,0.621358311
7.22,0.621093492
7.23,0.620829495
7.24,0.620566318
7.25,0.620303958
7.26,0.620042411
7.27,0.619781675
7.28,0.619521745
7.29,0.619262619
7.3,0.619004293
7.31,0.618746765
7.32,0.618490031
7.33,0.618234088
7.34,0.617978933
7.35,0.617724563
7.36,0.617470974
7.37,0.617218165
7.38,0.616966131
7.39,0.61671487
7.4,0.616464378
7.41,0.616214653
7.42,0.615965691
7.43,0.615717491
7.44,0.615470048
7.45,0.615223359
7.46,0.614977423
7.47,0.614732235
7.48,0.614487794
7.49,0.614244095
7.5,0.614001137
7.51,0.613758917
7.52,0.613517431
7.53,0.613276676
7.54,0.613036651
7.55,0.612797352
7.56,0.612558776
7.57,0.612320921
7.58,0.612083784
7.59,0.611847361
7.6,0.611611651
7.61,0.611376651
7.62,0.611142358
7.63,0.610908769
7.64,0.610675882
7.65,0.610443694
7.66,0.610212202
7.67,0.609981403
7.68,0.609751296
7.69,0.609521877
7.7,0.609293145
7.71,0.609065095
7.72,0.608837726
7.73,0.608611035
7.74,0.60838502
7.75,0.608159678
7.76,0.607935007
7.77,0.607711003
7.78,0.607487665
7.79,0.60726499
7.8,0.607042976
7.81,0.60682162
7.82,0.60660092
7.83,0.606380873
7.84,0.606161477
7.85,0.605942729
7.86,0.605724627
7.87,0.605507169
7.88,0.605290352
7.89,0.605074174
7.9,0.604858633
7.91,0.604643726
7.92,0.604429451
7.93,0.604215805
7.94,0.604002787
7.95,0.603790393
7.96,0.603578623
7.97,0.603367472
7.98,0.60315694
7.99,0.602947024
8,0.602737721
8.01,0.60252903
8.02,0.602320948
8.03,0.602113472
8.04,0.601906602
8.05,0.601700334
8.06,0.601494667
8.07,0.601289598
8.08,0.601085124
8.09,0.600881245
8.1,0.600677958
8.11,0.60047526
8.12,0.60027315
8.13,0.600071625
8.14,0.599870683
8.15,0.599670323
8.16,0.599470542
8.17,0.599271338
8.18,0.599072709
8.19,0.598874652
8.2,0.598677167
8.21,0.598480251
8.22,0.598283901
8.23,0.598088117
8.24,0.597892895
8.25,0.597698234
8.26,0.597504131
8.27,0.597310586
8.28,0.597117596
8.29,0.596925158
8.3,0.596733272
8.31,0.596541934
8.32,0.596351144
8.33,0.596160899
8.34,0.595971197
8.35,0.595782036
8.36,0.595593415
8.37,0.595405332
8.38,0.595217784
8.39,0.59503077
8.4,0.594844288
8.41,0.594658336
8.42,0.594472912
8.43,0.594288015
8.44,0.594103642
8.45,0.593919792
8.46,0.593736463
8.47,0.593553653
8.48,0.59337136
8.49,0.593189583
8.5,0.59300832
8.51,0.592827569
8.52,0.592647328
8.53,0.592467595
8.54,0.592288369
8.55,0.592109648
8.56,0.59193143
8.57,0.591753714
8.58,0.591576497
8.59,0.591399779
8.6,0.591223556
8.61,0.591047829
8.62,0.590872594
8.63,0.590697851
8.64,0.590523597
8.65,0.590349832
8.66,0.590176552
8.67,0.590003757
8.68,0.589831445
8.69,0.589659615
8.7,0.589488264
8.71,0.589317391
8.72,0.589146994
8.73,0.588977073
8.74,0.588807624
8.75,0.588638648
8.76,0.588470141
8.77,0.588302102
8.78,0.588134531
8.79,0.587967425
8.8,0.587800783
8.81,0.587634602
8.82,0.587468883
8.83,0.587303622
8.84,0.587138819
8.85,0.586974472
8.86,0.58681058
8.87,0.586647141
8.88,0.586484153
8.89,0.586321614
8.9,0.586159525
8.91,0.585997882
8.92,0.585836685
8.93,0.585675932
8.94,0.585515621
8.95,0.585355752
8.96,0.585196322
8.97,0.58503733
8.98,0.584878775
8.99,0.584720655
9,0.584562968
9.01,0.584405715
9.02,0.584248892
9.03,0.584092499
9.04,0.583936533
9.05,0.583780995
9.06,0.583625882
9.07,0.583471193
9.08,0.583316926
9.09,0.58316308
9.1,0.583009654
9.11,0.582856647
9.12,0.582704057
9.13,0.582551882
9.14,0.582400121
9.15,0.582248774
9.16,0.582097838
9.17,0.581947312
9.18,0.581797196
9.19,0.581647487
9.2,0.581498184
9.21,0.581349286
9.22,0.581200792
9.23,0.5810527
9.24,0.580905009
9.25,0.580757718
9.26,0.580610826
9.27,0.58046433
9.28,0.580318231
9.29,0.580172526
9.3,0.580027214
9.31,0.579882295
9.32,0.579737766
9.33,0.579593627
9.34,0.579449877
9.35,0.579306513
9.36,0.579163535
9.37,0.579020942
9.38,0.578878732
9.39,0.578736904
9.4,0.578595458
9.41,0.578454391
9.42,0.578313702
9.43,0.578173391
9.44,0.578033456
9.45,0.577893895
9.46,0.577754709
9.47,0.577615895
9.48,0.577477452
9.49,0.57733938
9.5,0.577201676
9.51,0.57706434
9.52,0.576927371
9.53,0.576790768
9.54,0.576654529
9.55,0.576518653
9.56,0.576383139
9.57,0.576247986
9.58,0.576113193
9.59,0.575978758
9.6,0.575844681
9.61,0.57571096
9.62,0.575577595
9.63,0.575444584
9.64,0.575311926
9.65,0.57517962
9.66,0.575047664
9.67,0.574916059
9.68,0.574784802
9.69,0.574653893
9.7,0.57452333
9.71,0.574393113
9.72,0.57426324
9.73,0.57413371
9.74,0.574004523
9.75,0.573875676
9.76,0.57374717
9.77,0.573619003
9.78,0.573491173
9.79,0.573363681
9.8,0.573236525
9.81,0.573109703
9.82,0.572983215
9.83,0.57285706
9.84,0.572731237
9.85,0.572605745
9.86,0.572480582
9.87,0.572355748
9.88,0.572231242
9.89,0.572107062
9.9,0.571983208
9.91,0.571859679
9.92,0.571736473
9.93,0.57161359
9.94,0.571491029
9.95,0.571368789
9.96,0.571246868
9.97,0.571125266
9.98,0.571003982
9.99,0.570883015
10,0.570762363
10.01,0.570642027
10.02,0.570522004
10.03,0.570402294
10.04,0.570282897
10.05,0.57016381
10.06,0.570045034
10.07,0.569926567
10.08,0.569808408
10.09,0.569690557
10.1,0.569573011
10.11,0.569455772
10.12,0.569338837
10.13,0.569222205
10.14,0.569105876
10.15,0.568989849
10.16,0.568874123
10.17,0.568758697
10.18,0.56864357
10.19,0.568528741
10.2,0.56841421
10.21,0.568299975
10.22,0.568186035
10.23,0.56807239
10.24,0.567959039
10.25,0.56784598
10.26,0.567733214
10.27,0.567620739
10.28,0.567508553
10.29,0.567396658
10.3,0.56728505
10.31,0.567173731
10.32,0.567062698
10.33,0.566951951
10.34,0.566841489
10.35,0.566731312
10.36,0.566621418
10.37,0.566511806
10.38,0.566402476
10.39,0.566293427
10.4,0.566184658
10.41,0.566076168
10.42,0.565967957
10.43,0.565860023
10.44,0.565752366
10.45,0.565644984
10.46,0.565537878
10.47,0.565431047
10.48,0.565324488
10.49,0.565218203
10.5,0.565112189
10.51,0.565006446
10.52,0.564900974
10.53,0.564795771
10.54,0.564690836
10.55,0.56458617
10.56,0.564481771
10.57,0.564377638
10.58,0.56427377
10.59,0.564170168
10.6,0.564066829
10.61,0.563963754
10.62,0.563860941
10.63,0.56375839
10.64,0.563656099
10.65,0.563554069
10.66,0.563452298
10.67,0.563350786
10.68,0.563249532
10.69,0.563148535
10.7,0.563047794
10.71,0.562947309
10.72,0.562847079
10.73,0.562747103
10.74,0.562647381
10.75,0.562547911
10.76,0.562448693
10.77,0.562349726
10.78,0.56225101
10.79,0.562152544
10.8,0.562054327
10.81,0.561956358
10.82,0.561858636
10.83,0.561761162
10.84,0.561663934
10.85,0.561566951
10.86,0.561470213
10.87,0.561373719
