Time Step,Ratio,Primary Radius,Secondary Radius,Primary Displacement,Secondary Displacement,Primary Sheave Velocity,Secondary Sheave Velocity,Primary Sheave Acceleration,Secondary Sheave Acceleration,Primary Clamping Force,Secondary Force
0.65,1.563880629,2.07311864728658,3.24211009411016,0.381135902452572,-0.0345328904323010,0.101298524640233,-0.0924073718406707,-0.388910116921781,0.342126261371678,-0.275037234687084,0.339777564587362
0.7,1.539076575,2.09470713090892,3.22391467666738,0.385724676303007,-0.0387336335440915,0.0842599876935224,-0.0773241345009804,-0.305897994298422,0.271941614756988,-0.216331061567844,0.270074735571682
0.75,1.518685299,2.11275985479930,3.20861733180107,0.389561901221925,-0.0422653038823991,0.0707087252103910,-0.0652132103649719,-0.245053944409096,0.219809777175106,-0.173302149486113,0.218300783054799
0.8,1.501742633,2.12797297067169,3.19566773192933,0.392795548824046,-0.0452549545805887,0.0597545932526128,-0.0553431567834698,-0.199299147067699,0.180146594232302,-0.140944356806277,0.178909887862897
0.85,1.487545873,2.14087218065889,3.18464557695964,0.395537360547186,-0.0477996195607460,0.0507788105036211,-0.0471985509417416,-0.164159763601191,0.149371259934802,-0.116093784818762,0.148345826235350
0.9,1.475570005,2.15186252275357,3.17522379345880,0.397873429874408,-0.0499748096747628,0.0433386168924937,-0.0404060307899895,-0.136693415744715,0.125096866988980,-0.0966695836146627,0.124238076997101
0.95,1.465414506,2.16126139685245,3.16714380220540,0.399871222236435,-0.0518402226397450,0.0371094689291496,-0.0346888642428436,-0.114900569778848,0.105681094970575,-0.0812576829476012,0.104955594253602
1.0,1.456768348,2.16932115524065,3.16019839560138,0.401584376767323,-0.0534436960990472,0.0318485599146090,-0.0298379212929320,-0.0973844516707347,0.0899634621357395,-0.0688702842215436,0.0893458629681776
1.05,1.449386272,2.17624496624423,3.15421957858349,0.403056078227896,-0.0548240147690382,0.0273710237620761,-0.0256925180292697,-0.0831461731970899,0.0771052221004397,-0.0588009736849820,0.0765758947507202
1.1,1.443072279,2.18219820949248,3.14906974340204,0.404321479143531,-0.0560129479019742,0.0235339425949000,-0.0221273990828880,-0.0714568910495923,0.0664883744245055,-0.0505343133502717,0.0660319317340813
1.15,1.437667889,2.18731681573690,3.14463514905467,0.405409472487386,-0.0570367546773270,0.0202253346571169,-0.0190436805868191,-0.0617752883815831,0.0576497665252256,-0.0436874839434555,0.0572540008780300
1.2,1.433043619,2.19171348133270,3.14082101910010,0.406344012609243,-0.0579173159606561,0.0173564137567417,-0.0163624224303654,-0.0536929789300759,0.0502370555865664,-0.0379716746993497,0.0498921781999646
1.25,1.429092692,2.19548236641215,3.13754780525447,0.407145113863060,-0.0586729969203635,0.0148560367641093,-0.0140199750281625,-0.0468976542447263,0.0439787139263763,-0.0331660210818704,0.0436768000552718
1.3,1.425726318,2.19870269711949,3.13474830074084,0.407829616285654,-0.0593193134634723,0.0126666483322690,-0.0119645510377278,-0.0411474822454624,0.0386629875831543,-0.0290994994439910,0.0383975661733959
1.35,1.42287011,2.20144155592517,3.13236538883781,0.408411778696287,-0.0598694520241363,0.0107412885395630,-0.0101536762698470,-0.0362530660600211,0.0341229398544000,-0.0256381683176470,0.0338886858722995
1.4,1.420461318,2.20375607606727,3.13035026036103,0.408903745139610,-0.0603346810904570,0.00904134172626693,-0.00855225705228780,-0.0320646611419953,0.0302257823833948,-0.0226761283596191,0.0300182823873328
1.45,1.418446682,2.20569517277672,3.12866099932855,0.409315912868914,-0.0607246777293651,0.00753482242536351,-0.00713109803150757,0.538269620558950,-0.511948557977808,0.380664275659289,-0.508434031127291
1.5,1.416780738,2.20730093131247,3.12726144245297,0.409657227382146,-0.0610477908936078,0.0628683037821620,-0.0597471128500687,1.25458813412784,-1.19899394300569,0.887244728455209,-1.19076284958696
1.55,1.388100038,2.23527238426726,3.10278168154173,0.415602743247130,-0.0666993890143720,0.132993635838148,-0.127030492332077,0.802586843638721,-0.781261474228183,0.567589415821304,-0.775898114207607
1.6,1.353486827,2.26986951766579,3.07223849116948,0.422956590965961,-0.0737508401268155,0.143126988146034,-0.137873260272887,0.0259454469051987,-0.0478936348081272,0.0183486200513565,-0.0475648450051694
